Fire_ID,Fire_Name,sample_number,Acres,sdc,ln_sdc,mean_para,weighted_core_area,weighted_patch_area,ag_index,patch_area,total_class_area,core_area_index,clumpiness,patch_cohesion_index,core_area,number_of_patches,patch_density,pladj,pland,total_core_area,Year,StartMonth,StartDay,Fire_type,bailey_ecoregion,ecoregion_group,eco_code,sm_rdnbr
OR4243112153319950728,SWITCHBACK,sample1,1025,0.01159,-4.45802,0.092694055,0,54.51,77.4,3.58,132.3,6.99,0.77,94.05,1.46,37,0.4,75.37,1.43,53.91,1995,7,28,Wildfire,Cascade Mixed Forest,CMF,1,0.572
OR4264812157619940627,QUICK,sample1,1412,0.00916,-4.69312,0.106896567,1.33,286.67,78.65,2.67,187.11,2.39,0.78,96.38,1.27,70,0.87,76.91,2.32,88.74,1994,6,27,Wildfire,Cascade Mixed Forest,CMF,1,0.7131
OR4295512197819880824,PROPHECY,sample1,1821,0.0088,-4.73272,0.104471199,21.13,75.39,80.11,2.12,114.3,5.57,0.8,92.86,1.11,54,0.59,77.83,1.24,59.85,1988,8,24,Wildfire,Cascade Mixed Forest,CMF,1,0.5254
OR4310612253920020714,BIG BEND,sample1,10572,0.02002,-3.91097,0.098583629,0.4,16.7,66.3,0.92,238.05,5.34,0.66,81.66,0.27,258,1.19,65.01,1.09,70.11,2002,7,14,Wildfire,Cascade Mixed Forest,CMF,1,0.3169
OR4315612245520090922,RAINBOW CREEK,sample1,5150,0.00645,-5.04434,0.091110476,137.22,530.6,82.83,4.19,599.4,6.95,0.82,97.76,2.36,143,0.92,81.81,3.85,337.23,2009,9,22,Wildfire,Cascade Mixed Forest,CMF,1,0.5027
OR4328212264819870830,APPLE,sample1,2967,0.01459,-4.22716,0.0956971,0.96,24.7,77.46,1.65,86.04,9.62,0.77,85.91,0.73,52,0.48,74.95,0.8,38.07,1987,8,30,Wildfire,Cascade Mixed Forest,CMF,1,0.2835
OR4328712265220020816,APPLE,sample1,19139,0.00765,-4.87321,0.097719144,180.62,984.17,80.95,2.59,1149.03,5.39,0.8,97.12,1.42,443,1.41,80.23,3.66,628.29,2002,8,16,Wildfire,Cascade Mixed Forest,CMF,1,0.3712
OR4335612252819960813,SPRING,sample1,15959,0.00442,-5.42221,0.098913511,267.07,377.66,84.16,2.78,1480.68,6.21,0.83,94.73,1.76,532,1.53,83.5,4.26,936.99,1996,8,13,Wildfire,Cascade Mixed Forest,CMF,1,0.4184
OR4379912084819950904,PINE MTN.,sample1,1051,0.00456,-5.39147,0.107202458,24.91,454.07,84.37,7.38,243.45,3.82,0.84,97.7,4.27,33,0.43,82.74,3.15,140.85,1995,9,4,Wildfire,Cascade Mixed Forest,CMF,1,0.6584
OR4400912217020170804,REBEL,sample1,9047.08,0.01548,-4.1679,0.087743531,0.95,33.43,74.96,2.04,285.21,8.44,0.75,89.73,0.82,140,0.65,73.62,1.32,114.57,2017,8,4,Wildfire,Cascade Mixed Forest,CMF,1,0.2916
OR4412912209720170811,AVENUE,sample1,4323.02,0.0234,-3.75481,0.089117796,0,13.84,69.14,1.35,129.42,6.96,0.69,86.29,0.4,96,0.61,67.32,0.82,38.7,2017,8,11,Wildfire,Cascade Mixed Forest,CMF,1,0.3139
OR4425712174320170811,MILLI 0843 CS,sample1,24074.85,0.00648,-5.03898,0.093907112,228.73,997.54,83.63,4.78,3076.29,6.2,0.82,97.73,2.81,644,1.49,83.18,7.14,1806.84,2017,8,11,Wildfire,Cascade Mixed Forest,CMF,1,0.524
OR4435412173920070830,GW FIRE,sample1,13719,0.00359,-5.62897,0.102978566,1063.26,3149.65,87.54,7.24,2723.4,3.59,0.86,98.92,4.91,376,1.13,87.04,8.2,1845.81,2007,8,30,Wildfire,Cascade Mixed Forest,CMF,1,0.5679
OR4452412161020080925,WIZARD,sample1,2149,0.01705,-4.07184,0.095574692,0,15.43,70.98,1.04,47.7,4.1,0.71,84.63,0.33,46,0.49,67.83,0.51,15.39,2008,9,25,Wildfire,Cascade Mixed Forest,CMF,1,0.3164
OR4457412175119870901,CABOT CREEK,sample1,3284,0.01238,-4.39172,0.098491156,3.18,57.55,77.1,2.12,216.45,4.87,0.77,92.76,0.98,102,0.59,75.51,1.26,99.81,1987,9,1,Wildfire,Cascade Mixed Forest,CMF,1,0.4758
WA4617912116020000623,RANGE,sample1,11520,0.01318,-4.32931,0.120890048,3.11,36.58,65.68,0.46,36.72,1.1,0.66,81.49,0.18,80,0.26,62.38,0.12,14.67,2000,6,23,Wildfire,Cascade Mixed Forest,CMF,1,0.2634
WA4701412103420130809,MANASTASH RIDGE,sample1,1534,0.00532,-5.23584,0.086536011,61.28,344.92,90.7,14.16,325.71,14.96,0.9,97.33,10.07,23,0.24,89.18,3.39,231.66,2013,8,9,Wildfire,Cascade Mixed Forest,CMF,1,0.6196
WA4757612078720010813,FOURTH OF JULY,sample1,7008,0.01018,-4.58711,0.103009897,18.07,199.54,78.62,2.4,573.93,3.92,0.78,95.05,1.18,239,1.36,77.64,3.26,282.96,2001,8,13,Wildfire,Cascade Mixed Forest,CMF,1,0.4751
